product_id,name,description,image,stock,price,branch_id
400000,Elite Monthly Membership,Personal locker included. Access to 5 classes per week.,/images/membership-monthly.jpg,999,250.0,478
400001,Dymatize Casein Vanilla 5lbs,High-quality Casein protein with 24g protein per serving. Available in natural flavor.,/images/protein powder-casein-vanilla.jpg,21,280.0,13
400002,Gold Monthly Membership,Access to 5 classes per week. Personal locker included.,/images/membership-monthly.jpg,999,260.0,384
400003,Rogue Dumbbell EVA Foam 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-dumbbell-eva-foam.jpg,28,140.0,179
400004,Elite Annual Membership,Access to 5 classes per week. Personal locker included.,/images/membership-annual.jpg,999,210.0,126
400005,CAP Dumbbell Neoprene 5kg,Ergonomic design for comfort. Durable rubber construction.,/images/equipment-dumbbell-neoprene.jpg,11,290.0,109
400006,Powerade Recovery Lemon 500ml,Recovery drink with electrolytes. Refreshing mixed taste.,/images/sports drink-recovery-lemon.jpg,111,130.0,422
400007,Nike Shorts Gray S,Available in black color. Breathable cotton fabric.,/images/apparel-shorts-gray.jpg,47,220.0,335
400008,MuscleTech Whey Unflavored 10 servings,Available in natural flavor. Contains essential amino acids.,/images/protein powder-whey-unflavored.jpg,45,300.0,33
400009,Gymshark Hoodie Navy L,Available in black color. Breathable cotton fabric.,/images/apparel-hoodie-navy.jpg,56,220.0,482
400010,Lucozade Energy Tropical 6-pack,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-energy-tropical.jpg,154,280.0,303
400011,MuscleTech Plant-Based Strawberry 5lbs,Contains essential amino acids. High-quality Plant-Based protein with 30g protein per serving.,/images/protein powder-plant-based-strawberry.jpg,22,220.0,399
400012,Elite VIP Membership,Includes parking access. Personal locker included.,/images/membership-vip.jpg,999,120.0,222
400013,MuscleTech Plant-Based Vanilla 10 servings,Contains essential amino acids. Available in natural flavor.,/images/protein powder-plant-based-vanilla.jpg,25,250.0,485
400014,Lucozade Energy Lemon 1L,Energy drink with electrolytes. Enhances hydration and performance.,/images/sports drink-energy-lemon.jpg,114,200.0,137
400015,Platinum VIP Membership,Access to 4 classes per week. Personal locker included.,/images/membership-vip.jpg,999,210.0,340
400016,MuscleTech Whey Chocolate 2kg,High-quality Whey protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-whey-chocolate.jpg,10,110.0,3
400017,Gymshark Hoodie Navy S,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-hoodie-navy.jpg,46,250.0,134
400018,Rogue Resistance Band Rubber 15kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-resistance-band-rubber.jpg,30,70.0,476
400019,Lucozade Recovery Lemon 1L,Recovery drink with electrolytes. Refreshing mixed taste.,/images/sports drink-recovery-lemon.jpg,53,130.0,463
400020,Under Armour Hoodie Gray S,Available in black color. Moisture-wicking technology.,/images/apparel-hoodie-gray.jpg,34,170.0,135
400021,MuscleTech Whey Unflavored 2kg,Available in natural flavor. Contains essential amino acids.,/images/protein powder-whey-unflavored.jpg,31,280.0,279
400022,Gatorade Isotonic Berry 1L,Isotonic drink with electrolytes. Enhances hydration and performance.,/images/sports drink-isotonic-berry.jpg,178,210.0,148
400023,Yes4All Dumbbell Rubber 10kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-dumbbell-rubber.jpg,27,140.0,229
400024,Yes4All Yoga Mat EVA Foam 5kg,10kg weight option. Durable rubber construction.,/images/equipment-yoga-mat-eva-foam.jpg,15,150.0,405
400025,Lucozade Isotonic Tropical 6-pack,Isotonic drink with electrolytes. Refreshing mixed taste.,/images/sports drink-isotonic-tropical.jpg,125,190.0,1
400026,Lucozade Recovery Tropical 500ml,Recovery drink with electrolytes. Refreshing mixed taste.,/images/sports drink-recovery-tropical.jpg,67,270.0,425
400027,Lucozade Isotonic Lemon 1L,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-isotonic-lemon.jpg,76,180.0,113
400028,Lucozade Energy Berry 500ml,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-energy-berry.jpg,162,90.0,258
400029,Lucozade Isotonic Berry 500ml,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-isotonic-berry.jpg,79,100.0,297
400030,Nike Hoodie Gray L,Available in black color. Moisture-wicking technology.,/images/apparel-hoodie-gray.jpg,48,170.0,305
400031,Yes4All Yoga Mat Rubber 15kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-yoga-mat-rubber.jpg,19,120.0,380
400032,Powerade Isotonic Lemon 1L,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-isotonic-lemon.jpg,75,170.0,244
400033,Powerade Recovery Lemon 6-pack,Refreshing mixed taste. Recovery drink with electrolytes.,/images/sports drink-recovery-lemon.jpg,66,90.0,20
400034,Gymshark Shorts Gray M,Breathable cotton fabric. Available in black color.,/images/apparel-shorts-gray.jpg,86,120.0,337
400035,Platinum VIP Membership,Access to 3 classes per week. Personal locker included.,/images/membership-vip.jpg,999,100.0,301
400036,CAP Dumbbell Rubber 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-dumbbell-rubber.jpg,14,260.0,340
400037,Platinum Annual Membership,Includes pool access. Access to 4 classes per week.,/images/membership-annual.jpg,999,130.0,381
400038,MuscleTech Casein Chocolate 5lbs,Available in natural flavor. High-quality Casein protein with 24g protein per serving.,/images/protein powder-casein-chocolate.jpg,40,170.0,61
400039,Dymatize Plant-Based Vanilla 2kg,Available in natural flavor. High-quality Plant-Based protein with 30g protein per serving.,/images/protein powder-plant-based-vanilla.jpg,14,190.0,412
400040,Powerade Recovery Lemon 1L,Refreshing mixed taste. Recovery drink with electrolytes.,/images/sports drink-recovery-lemon.jpg,61,130.0,289
400041,Gatorade Isotonic Berry 6-pack,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-isotonic-berry.jpg,169,270.0,91
400042,Rogue Resistance Band Rubber 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-resistance-band-rubber.jpg,20,120.0,67
400043,MuscleTech Whey Chocolate 10 servings,High-quality Whey protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-whey-chocolate.jpg,11,150.0,380
400044,Lucozade Energy Lemon 6-pack,Energy drink with electrolytes. Enhances hydration and performance.,/images/sports drink-energy-lemon.jpg,121,230.0,394
400045,Yes4All Resistance Band Neoprene 15kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-resistance-band-neoprene.jpg,23,250.0,294
400046,Lucozade Isotonic Berry 6-pack,Isotonic drink with electrolytes. Refreshing mixed taste.,/images/sports drink-isotonic-berry.jpg,104,170.0,106
400047,Yes4All Yoga Mat Neoprene 10kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-yoga-mat-neoprene.jpg,29,110.0,337
400048,Gatorade Isotonic Tropical 500ml,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-isotonic-tropical.jpg,176,70.0,405
400049,Nike T-Shirt Gray S,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-gray.jpg,70,190.0,265
400050,Dymatize Casein Chocolate 10 servings,High-quality Casein protein with 30g protein per serving. Contains essential amino acids.,/images/protein powder-casein-chocolate.jpg,29,300.0,319
400051,CAP Yoga Mat Rubber 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-yoga-mat-rubber.jpg,13,140.0,15
400052,Powerade Recovery Berry 500ml,Recovery drink with electrolytes. Enhances hydration and performance.,/images/sports drink-recovery-berry.jpg,128,260.0,373
400053,Dymatize Whey Chocolate 5lbs,Contains essential amino acids. High-quality Whey protein with 30g protein per serving.,/images/protein powder-whey-chocolate.jpg,10,220.0,277
400054,Under Armour Hoodie Black L,Available in black color. Moisture-wicking technology.,/images/apparel-hoodie-black.jpg,51,260.0,413
400055,Gatorade Isotonic Lemon 6-pack,Enhances hydration and performance. Isotonic drink with electrolytes.,/images/sports drink-isotonic-lemon.jpg,69,170.0,266
400056,Under Armour Hoodie Gray XL,Breathable cotton fabric. Available in black color.,/images/apparel-hoodie-gray.jpg,87,110.0,92
400057,Elite VIP Membership,Access to 3 classes per week. Personal locker included.,/images/membership-vip.jpg,999,120.0,240
400058,Yes4All Yoga Mat Rubber 10kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-yoga-mat-rubber.jpg,27,170.0,235
400059,Lucozade Energy Lemon 500ml,Enhances hydration and performance. Energy drink with electrolytes.,/images/sports drink-energy-lemon.jpg,122,150.0,50
400060,Powerade Recovery Tropical 500ml,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-recovery-tropical.jpg,116,240.0,317
400061,Yes4All Dumbbell EVA Foam 10kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-dumbbell-eva-foam.jpg,8,70.0,305
400062,Elite Annual Membership,Access to 4 classes per week. Personal locker included.,/images/membership-annual.jpg,999,100.0,329
400063,Under Armour T-Shirt Red L,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-t-shirt-red.jpg,47,180.0,432
400064,Nike T-Shirt Gray L,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-gray.jpg,81,290.0,12
400065,Dymatize Whey Chocolate 10 servings,High-quality Whey protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-whey-chocolate.jpg,43,70.0,1
400066,Gymshark Hoodie Red S,Available in black color. Breathable cotton fabric.,/images/apparel-hoodie-red.jpg,38,70.0,72
400067,Elite VIP Membership,Includes pool access. Access to 3 classes per week.,/images/membership-vip.jpg,999,170.0,260
400068,Gold Annual Membership,Personal locker included. Includes pool access.,/images/membership-annual.jpg,999,260.0,416
400069,Dymatize Casein Vanilla 2kg,High-quality Casein protein with 30g protein per serving. Contains essential amino acids.,/images/protein powder-casein-vanilla.jpg,28,60.0,87
400070,Lucozade Isotonic Berry 6-pack,Isotonic drink with electrolytes. Refreshing mixed taste.,/images/sports drink-isotonic-berry.jpg,147,80.0,113
400071,MuscleTech Casein Strawberry 5lbs,Available in natural flavor. Contains essential amino acids.,/images/protein powder-casein-strawberry.jpg,20,240.0,265
400072,Dymatize Casein Chocolate 5lbs,Contains essential amino acids. High-quality Casein protein with 30g protein per serving.,/images/protein powder-casein-chocolate.jpg,25,280.0,299
400073,Gatorade Recovery Tropical 1L,Enhances hydration and performance. Recovery drink with electrolytes.,/images/sports drink-recovery-tropical.jpg,166,250.0,292
400074,Lucozade Isotonic Tropical 500ml,Isotonic drink with electrolytes. Refreshing mixed taste.,/images/sports drink-isotonic-tropical.jpg,50,120.0,100
400075,Dymatize Casein Chocolate 10 servings,High-quality Casein protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-casein-chocolate.jpg,18,210.0,331
400076,Yes4All Dumbbell Rubber 10kg,Durable rubber construction. 10kg weight option.,/images/equipment-dumbbell-rubber.jpg,7,140.0,187
400077,Lucozade Energy Lemon 1L,Refreshing mixed taste. Energy drink with electrolytes.,/images/sports drink-energy-lemon.jpg,76,80.0,288
400078,Rogue Yoga Mat Neoprene 5kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-yoga-mat-neoprene.jpg,28,100.0,390
400079,Gatorade Isotonic Lemon 1L,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-isotonic-lemon.jpg,95,110.0,324
400080,Powerade Energy Tropical 6-pack,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-energy-tropical.jpg,154,270.0,105
400081,Elite Annual Membership,Access to 5 classes per week. Includes parking access.,/images/membership-annual.jpg,999,170.0,101
400082,Gatorade Recovery Berry 1L,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-recovery-berry.jpg,184,80.0,47
400083,Nike Hoodie Red XL,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-hoodie-red.jpg,36,100.0,214
400084,Dymatize Casein Chocolate 2kg,Contains essential amino acids. Available in natural flavor.,/images/protein powder-casein-chocolate.jpg,47,250.0,486
400085,Nike Shorts Navy S,Available in black color. Breathable cotton fabric.,/images/apparel-shorts-navy.jpg,62,130.0,273
400086,Rogue Dumbbell Neoprene 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-dumbbell-neoprene.jpg,13,200.0,257
400087,Elite Monthly Membership,Personal locker included. Includes parking access.,/images/membership-monthly.jpg,999,140.0,161
400088,CAP Yoga Mat EVA Foam 15kg,10kg weight option. Durable rubber construction.,/images/equipment-yoga-mat-eva-foam.jpg,21,260.0,386
400089,Gymshark Hoodie Gray XL,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-hoodie-gray.jpg,74,170.0,191
400090,Yes4All Resistance Band Neoprene 15kg,Durable rubber construction. 10kg weight option.,/images/equipment-resistance-band-neoprene.jpg,20,190.0,397
400091,Powerade Energy Berry 6-pack,Refreshing mixed taste. Energy drink with electrolytes.,/images/sports drink-energy-berry.jpg,142,50.0,303
400092,Yes4All Dumbbell Rubber 5kg,10kg weight option. Durable rubber construction.,/images/equipment-dumbbell-rubber.jpg,28,100.0,170
400093,Under Armour T-Shirt Gray XL,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-t-shirt-gray.jpg,89,60.0,314
400094,Powerade Isotonic Lemon 500ml,Refreshing mixed taste. Enhances hydration and performance.,/images/sports drink-isotonic-lemon.jpg,140,60.0,421
400095,Gymshark T-Shirt Gray S,Available in black color. Breathable cotton fabric.,/images/apparel-t-shirt-gray.jpg,90,50.0,80
400096,Yes4All Yoga Mat EVA Foam 15kg,Ergonomic design for comfort. 10kg weight option.,/images/equipment-yoga-mat-eva-foam.jpg,27,150.0,357
400097,Gymshark T-Shirt Black XL,Breathable cotton fabric. Available in black color.,/images/apparel-t-shirt-black.jpg,22,210.0,251
400098,Lucozade Energy Tropical 6-pack,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-energy-tropical.jpg,65,160.0,16
400099,Gymshark Shorts Gray M,Moisture-wicking technology. Available in black color.,/images/apparel-shorts-gray.jpg,94,80.0,177
400100,Platinum Monthly Membership,Includes pool access. Personal locker included.,/images/membership-monthly.jpg,999,290.0,181
400101,Elite Monthly Membership,Includes parking access. Access to 3 classes per week.,/images/membership-monthly.jpg,999,210.0,290
400102,Dymatize Plant-Based Unflavored 2kg,Contains essential amino acids. High-quality Plant-Based protein with 24g protein per serving.,/images/protein powder-plant-based-unflavored.jpg,20,180.0,324
400103,Dymatize Plant-Based Strawberry 10 servings,Contains essential amino acids. High-quality Plant-Based protein with 30g protein per serving.,/images/protein powder-plant-based-strawberry.jpg,17,160.0,54
400104,ON Whey Chocolate 10 servings,High-quality Whey protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-whey-chocolate.jpg,29,250.0,52
400105,Platinum Annual Membership,Personal locker included. Includes sauna access.,/images/membership-annual.jpg,999,110.0,281
400106,Under Armour Hoodie Gray L,Breathable cotton fabric. Available in black color.,/images/apparel-hoodie-gray.jpg,62,210.0,168
400107,Under Armour Shorts Black S,Available in black color. Moisture-wicking technology.,/images/apparel-shorts-black.jpg,71,220.0,64
400108,Under Armour Hoodie Gray S,Moisture-wicking technology. Available in black color.,/images/apparel-hoodie-gray.jpg,54,90.0,36
400109,Dymatize Casein Chocolate 5lbs,High-quality Casein protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-casein-chocolate.jpg,47,210.0,353
400110,Gold Annual Membership,Includes sauna access. Access to 5 classes per week.,/images/membership-annual.jpg,999,250.0,377
400111,Gymshark Hoodie Black L,Moisture-wicking technology. Available in black color.,/images/apparel-hoodie-black.jpg,57,300.0,137
400112,Elite VIP Membership,Personal locker included. Access to 5 classes per week.,/images/membership-vip.jpg,999,180.0,71
400113,Platinum Monthly Membership,Personal locker included. Access to 4 classes per week.,/images/membership-monthly.jpg,999,180.0,229
400114,Powerade Energy Lemon 1L,Enhances hydration and performance. Energy drink with electrolytes.,/images/sports drink-energy-lemon.jpg,193,130.0,331
400115,Yes4All Dumbbell EVA Foam 5kg,Durable rubber construction. Ergonomic design for comfort.,/images/equipment-dumbbell-eva-foam.jpg,5,200.0,441
400116,Powerade Recovery Lemon 6-pack,Refreshing mixed taste. Recovery drink with electrolytes.,/images/sports drink-recovery-lemon.jpg,150,180.0,21
400117,Lucozade Recovery Berry 1L,Recovery drink with electrolytes. Refreshing mixed taste.,/images/sports drink-recovery-berry.jpg,161,270.0,458
400118,ON Plant-Based Unflavored 2kg,Available in natural flavor. Contains essential amino acids.,/images/protein powder-plant-based-unflavored.jpg,12,160.0,487
400119,CAP Resistance Band Rubber 5kg,Durable rubber construction. 10kg weight option.,/images/equipment-resistance-band-rubber.jpg,9,190.0,295
400120,Dymatize Plant-Based Vanilla 2kg,Available in natural flavor. Contains essential amino acids.,/images/protein powder-plant-based-vanilla.jpg,17,100.0,160
400121,Elite Annual Membership,Access to 5 classes per week. Personal locker included.,/images/membership-annual.jpg,999,200.0,113
400122,ON Casein Vanilla 10 servings,Contains essential amino acids. Available in natural flavor.,/images/protein powder-casein-vanilla.jpg,44,240.0,280
400123,Under Armour Shorts Red S,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-shorts-red.jpg,30,90.0,483
400124,Lucozade Energy Tropical 1L,Energy drink with electrolytes. Enhances hydration and performance.,/images/sports drink-energy-tropical.jpg,119,240.0,5
400125,Nike T-Shirt Black L,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-black.jpg,83,270.0,329
400126,Gold Monthly Membership,Personal locker included. Access to 4 classes per week.,/images/membership-monthly.jpg,999,110.0,200
400127,Yes4All Resistance Band Neoprene 10kg,10kg weight option. Ergonomic design for comfort.,/images/equipment-resistance-band-neoprene.jpg,26,250.0,339
400128,Gatorade Energy Tropical 500ml,Enhances hydration and performance. Refreshing mixed taste.,/images/sports drink-energy-tropical.jpg,132,120.0,482
400129,Dymatize Whey Unflavored 10 servings,Contains essential amino acids. Available in natural flavor.,/images/protein powder-whey-unflavored.jpg,50,230.0,19
400130,Gatorade Recovery Lemon 1L,Recovery drink with electrolytes. Enhances hydration and performance.,/images/sports drink-recovery-lemon.jpg,89,60.0,370
400131,Elite VIP Membership,Personal locker included. Access to 4 classes per week.,/images/membership-vip.jpg,999,260.0,303
400132,Dymatize Casein Unflavored 5lbs,Contains essential amino acids. Available in natural flavor.,/images/protein powder-casein-unflavored.jpg,29,50.0,324
400133,MuscleTech Plant-Based Chocolate 10 servings,High-quality Plant-Based protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-plant-based-chocolate.jpg,33,110.0,72
400134,Platinum VIP Membership,Includes pool access. Access to 5 classes per week.,/images/membership-vip.jpg,999,100.0,256
400135,Gold Monthly Membership,Access to 4 classes per week. Includes parking access.,/images/membership-monthly.jpg,999,250.0,52
400136,MuscleTech Plant-Based Unflavored 2kg,High-quality Plant-Based protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-plant-based-unflavored.jpg,49,220.0,92
400137,Under Armour Hoodie Gray S,Breathable cotton fabric. Available in black color.,/images/apparel-hoodie-gray.jpg,64,90.0,405
400138,Gymshark Hoodie Black M,Available in black color. Breathable cotton fabric.,/images/apparel-hoodie-black.jpg,85,220.0,247
400139,Nike Shorts Gray M,Breathable cotton fabric. Moisture-wicking technology.,/images/apparel-shorts-gray.jpg,45,260.0,214
400140,CAP Yoga Mat Rubber 10kg,10kg weight option. Durable rubber construction.,/images/equipment-yoga-mat-rubber.jpg,15,60.0,437
400141,Under Armour T-Shirt Red S,Moisture-wicking technology. Breathable cotton fabric.,/images/apparel-t-shirt-red.jpg,83,260.0,217
400142,ON Casein Unflavored 10 servings,Available in natural flavor. High-quality Casein protein with 24g protein per serving.,/images/protein powder-casein-unflavored.jpg,22,290.0,493
400143,Dymatize Whey Unflavored 2kg,Contains essential amino acids. Available in natural flavor.,/images/protein powder-whey-unflavored.jpg,39,210.0,496
400144,Dymatize Whey Strawberry 5lbs,High-quality Whey protein with 24g protein per serving. Contains essential amino acids.,/images/protein powder-whey-strawberry.jpg,43,80.0,175
400145,MuscleTech Plant-Based Unflavored 10 servings,High-quality Plant-Based protein with 30g protein per serving. Available in natural flavor.,/images/protein powder-plant-based-unflavored.jpg,35,180.0,49
400146,Gatorade Energy Lemon 6-pack,Enhances hydration and performance. Energy drink with electrolytes.,/images/sports drink-energy-lemon.jpg,133,190.0,223
400147,Elite Annual Membership,Includes parking access. Personal locker included.,/images/membership-annual.jpg,999,300.0,439
